image_name,lat,lon,geometry,index_right
28.2090_77.2943.png,28.209,77.2943,POINT (136210.36972856923 3125920.615189729),24
28.2090_77.3057.png,28.209,77.3057,POINT (137330.37609481072 3125886.378879928),24
28.2090_77.3145.png,28.209,77.3145,POINT (138194.93694281124 3125860.023362067),24
28.2090_77.3233.png,28.209,77.3233,POINT (139059.49303751416 3125833.731019364),24
28.2090_77.3321.png,28.209,77.3321,POINT (139924.0443902618 3125807.5018495205),24
28.2090_77.3409.png,28.209,77.3409,POINT (140788.59101240657 3125781.335850245),24
28.2090_77.3444.png,28.209,77.3444,POINT (141132.44347019115 3125770.9464769154),24
28.2090_77.3558.png,28.209,77.3558,POINT (142252.41487995046 3125737.176079961),24
28.2090_77.3646.png,28.209,77.3646,POINT (143116.9488181455 3125711.1801991495),24
28.2090_77.3734.png,28.209,77.3734,POINT (143981.4780676461 3125685.2474804856),24
28.2090_77.3822.png,28.209,77.3822,POINT (144846.0026397945 3125659.3779217037),24
28.2090_77.3910.png,28.209,77.391,POINT (145710.52254594333 3125633.5715205427),24
28.2090_77.3943.png,28.209,77.3943,POINT (146034.71631011053 3125623.9104024707),24
28.2090_77.4057.png,28.209,77.4057,POINT (147154.65337654826 3125590.6039633276),24
28.2090_77.4145.png,28.209,77.4145,POINT (148019.16087796254 3125564.966210682),17
28.2090_77.4233.png,28.209,77.4233,POINT (148883.66375502548 3125539.391607404),17
28.2090_77.4321.png,28.209,77.4321,POINT (149748.16201908467 3125513.8801512606),24
28.2090_77.4409.png,28.209,77.4409,POINT (150612.65568148775 3125488.4318400207),24
28.2090_77.4443.png,28.209,77.4443,POINT (150946.6633665075 3125478.6164489603),17
28.2090_77.4558.png,28.209,77.4558,POINT (152076.39017257013 3125445.4871877353),17
28.2090_77.4646.png,28.209,77.4646,POINT (152940.87149831204 3125420.2089261566),24
28.2090_77.4734.png,28.209,77.4734,POINT (153805.34826430428 3125394.993801296),24
28.2090_77.4822.png,28.209,77.4822,POINT (154669.82048189972 3125369.8418109505),24
28.2090_77.4910.png,28.209,77.491,POINT (155534.28816244088 3125344.75295292),24
28.2090_77.4944.png,28.209,77.4944,POINT (155868.28582631692 3125335.0764381443),24
28.2090_77.5058.png,28.209,77.5058,POINT (156988.1554247766 3125302.7004230646),5
28.2090_77.5146.png,28.209,77.5146,POINT (157852.61099379614 3125277.7808636185),24
28.2090_77.5234.png,28.209,77.5234,POINT (158717.06206754176 3125252.9244284425),24
28.2090_77.5322.png,28.209,77.5322,POINT (159581.50865736633 3125228.1311153644),24
28.2090_77.5410.png,28.209,77.541,POINT (160445.95077461272 3125203.400922219),5
28.2090_77.5443.png,28.209,77.5443,POINT (160770.1154178115 3125194.1433724556),5
28.2090_77.5557.png,28.209,77.5557,POINT (161889.9520938233 3125162.231037773),5
28.2090_77.5645.png,28.209,77.5645,POINT (162754.38232287392 3125137.669392961),5
28.2090_77.5733.png,28.209,77.5733,POINT (163618.8081210031 3125113.1708601764),5
28.2090_77.5821.png,28.209,77.5821,POINT (164483.22949955484 3125088.7354372786),5
28.2090_77.5909.png,28.209,77.5909,POINT (165347.6464698785 3125064.3631221317),5
28.2090_77.5944.png,28.209,77.5944,POINT (165691.44745120546 3125054.6871284745),5
28.2090_77.6058.png,28.209,77.6058,POINT (166811.25154834706 3125023.240242424),5
28.2090_77.6146.png,28.209,77.6146,POINT (167675.65670294623 3124999.03787735),5
28.2090_77.6234.png,28.209,77.6234,POINT (168540.05749122717 3124974.8986121905),5
28.2090_77.6322.png,28.209,77.6322,POINT (169404.4539245378 3124950.822444835),5
28.2090_77.6410.png,28.209,77.641,POINT (170268.84601422638 3124926.8093731813),5
28.2090_77.6443.png,28.209,77.6443,POINT (170592.99193033506 3124917.8207377424),5
28.2178_76.8558.png,28.2178,76.8558,POINT (93156.54364322446 3128294.310052905),0
28.2178_76.8646.png,28.2178,76.8646,POINT (94021.29115383868 3128264.715486023),0
28.2178_76.8734.png,28.2178,76.8734,POINT (94886.03333396168 3128235.184232005),0
28.2178_76.8822.png,28.2178,76.8822,POINT (95750.7701949291 3128205.716288269),23
28.2178_76.8910.png,28.2178,76.891,POINT (96615.5017480863 3128176.3116522375),23
28.2178_76.8943.png,28.2178,76.8943,POINT (96939.77471441339 3128165.3012347184),23
28.2178_76.9057.png,28.2178,76.9057,POINT (98059.9846938593 3128127.3337411215),23
28.2178_76.9145.png,28.2178,76.9145,POINT (98924.70212832082 3128098.098152853),23
28.2178_76.9233.png,28.2178,76.9233,POINT (99789.4142965909 3128068.925862878),23
28.2178_76.9321.png,28.2178,76.9321,POINT (100654.12121001474 3128039.8168686475),23
28.2178_76.9409.png,28.2178,76.9409,POINT (101518.8228799288 3128010.7711676145),23
28.2178_76.9443.png,28.2178,76.9443,POINT (101852.91075958445 3127999.565915602),23
28.2178_76.9558.png,28.2178,76.9558,POINT (102982.9081020868 3127961.735817567),23
28.2178_76.9646.png,28.2178,76.9646,POINT (103847.59570667811 3127932.8605640093),23
28.2178_76.9734.png,28.2178,76.9734,POINT (104712.27810964163 3127904.0485942983),23
28.2178_76.9822.png,28.2178,76.9822,POINT (105576.95532231889 3127875.2999059143),23
28.2178_76.9910.png,28.2178,76.991,POINT (106441.62735605013 3127846.614496344),23
28.2178_76.9944.png,28.2178,76.9944,POINT (106775.70380265359 3127835.5484440043),23
28.2178_77.0058.png,28.2178,77.0058,POINT (107895.83685569587 3127798.5135502187),23
28.2178_77.0146.png,28.2178,77.0146,POINT (108760.4950564251 3127769.9978305534),23
28.2178_77.0234.png,28.2178,77.0234,POINT (109625.14811996062 3127741.545380494),23
28.2178_77.0322.png,28.2178,77.0322,POINT (110489.79605764418 3127713.156197554),23
28.2178_77.0410.png,28.2178,77.041,POINT (111354.43888081628 3127684.830279251),23
28.2178_77.0443.png,28.2178,77.0443,POINT (111678.67862323642 3127674.224369796),23
28.2178_77.0557.png,28.2178,77.0557,POINT (112798.77403833327 3127637.654221265),23
28.2178_77.0645.png,28.2178,77.0645,POINT (113663.40325901407 3127609.497236178),18
28.2178_77.0733.png,28.2178,77.0733,POINT (114528.02740680968 3127581.403506665),18
28.2178_77.0821.png,28.2178,77.0821,POINT (115392.64649305714 3127553.373030271),23
28.2178_77.0909.png,28.2178,77.0909,POINT (116257.260529102 3127525.4058045447),23
28.2178_77.0944.png,28.2178,77.0944,POINT (116601.13971039659 3127514.300056562),23
28.2178_77.1058.png,28.2178,77.1058,POINT (117721.19781192194 3127478.196412574),23
28.2178_77.1146.png,28.2178,77.1146,POINT (118585.79830324295 3127450.3995202533),23
28.2178_77.1234.png,28.2178,77.1234,POINT (119450.39378624444 3127422.6658695997),23
28.2178_77.1322.png,28.2178,77.1322,POINT (120314.98427226226 3127394.9954581875),23
28.2178_77.1410.png,28.2178,77.141,POINT (121179.5697726421 3127367.3882835982),23
28.2178_77.1443.png,28.2178,77.1443,POINT (121503.78805223777 3127357.051895878),23
28.2178_77.1557.png,28.2178,77.1557,POINT (122623.80946247524 3127321.412792452),18
28.2178_77.1645.png,28.2178,77.1645,POINT (123488.3817045085 3127293.9744771128),18
28.2178_77.1733.png,28.2178,77.1733,POINT (124352.94900252594 3127266.599389766),18
28.2178_77.1821.png,28.2178,77.1821,POINT (125217.51136786927 3127239.2875280185),18
28.2178_77.1909.png,28.2178,77.1909,POINT (126082.06881187973 3127212.0388894835),18
28.2178_77.1943.png,28.2178,77.1943,POINT (126416.10105417576 3127201.5279383627),18
28.2178_77.2058.png,28.2178,77.2058,POINT (127545.91056792997 3127166.0461338577),24
28.2178_77.2146.png,28.2178,77.2146,POINT (128410.45481429627 3127138.9677550998),24
28.2178_77.2234.png,28.2178,77.2234,POINT (129274.99418121343 3127111.952590786),24
28.2178_77.2322.png,28.2178,77.2322,POINT (130139.52868002257 3127085.0006385543),24
28.2178_77.2410.png,28.2178,77.241,POINT (131004.0583220644 3127058.1118960497),24
28.2178_77.2444.png,28.2178,77.2444,POINT (131338.07983998308 3127047.7399920626),24
28.2178_77.2558.png,28.2178,77.2558,POINT (132458.02907134674 3127013.0324619003),24
28.2178_77.2646.png,28.2178,77.2646,POINT (133322.54574441246 3126986.3132248027),24
28.2178_77.2734.png,28.2178,77.2734,POINT (134187.05760246655 3126959.657188808),24
28.2178_77.2822.png,28.2178,77.2822,POINT (135051.56465684983 3126933.064351585),24
28.2178_77.2910.png,28.2178,77.291,POINT (135916.06691890367 3126906.53471081),24
28.2178_77.2943.png,28.2178,77.2943,POINT (136240.25403396686 3126896.60238788),24
28.2178_77.3057.png,28.2178,77.3057,POINT (137360.16799407004 3126862.3591011255),24
28.2178_77.3145.png,28.2178,77.3145,POINT (138224.65751400572 3126835.9982122434),24
28.2178_77.3233.png,28.2178,77.3233,POINT (139089.14228324126 3126809.7005113265),24
28.2178_77.3321.png,28.2178,77.3321,POINT (139953.622313113 3126783.465996077),24
28.2178_77.3409.png,28.2178,77.3409,POINT (140818.09761496686 3126757.2946642004),24
28.2178_77.3444.png,28.2178,77.3444,POINT (141161.92170744383 3126746.903173511),24
28.2178_77.3558.png,28.2178,77.3558,POINT (142281.8007301677 3126713.1258940552),24
28.2178_77.3646.png,28.2178,77.3646,POINT (143146.26335500297 3126687.1247151345),24
28.2178_77.3734.png,28.2178,77.3734,POINT (144010.72129370557 3126661.1867111684),24
28.2178_77.3822.png,28.2178,77.3822,POINT (144875.17455761158 3126635.311879891),24
28.2178_77.3910.png,28.2178,77.391,POINT (145739.6231580677 3126609.5002190415),17
28.2178_77.3943.png,28.2178,77.3943,POINT (146063.7901832562 3126599.837131888),17
28.2178_77.4057.png,28.2178,77.4057,POINT (147183.63488142332 3126566.5239043203),17
28.2178_77.4145.png,28.2178,77.4145,POINT (148048.07108392217 3126540.8809261867),17
28.2178_77.4233.png,28.2178,77.4233,POINT (148912.50266459625 3126515.301110228),17
28.2178_77.4321.png,28.2178,77.4321,POINT (149776.92963478673 3126489.78445421),17
